2026-04-25 02:54:52,687 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f28c900c-9ed8-547d-bf5d-f26ab1f0f187', 'Date': 'Sat, 25 Apr 2026 02:54:52 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:55:12,712 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '2bb2157e-0d07-53fe-8914-7718223bba31', 'Date': 'Sat, 25 Apr 2026 02:55:12 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:55:32,737 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '77f41524-73d7-5597-ad50-77425c871ba6', 'Date': 'Sat, 25 Apr 2026 02:55:32 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:55:52,761 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd05210a1-e005-5c0a-b886-72c7cf61c3be', 'Date': 'Sat, 25 Apr 2026 02:55:52 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:56:12,786 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'fac75e13-ce77-5816-810e-3c75e10f4cc3', 'Date': 'Sat, 25 Apr 2026 02:56:12 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:56:32,822 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'eec39da1-df7b-52c6-959c-ffc7f0f70e37', 'Date': 'Sat, 25 Apr 2026 02:56:32 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:56:52,847 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '0bf9ef7b-b70e-52eb-90a8-8d1d98aec73f', 'Date': 'Sat, 25 Apr 2026 02:56:52 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:57:12,876 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '77897baf-6468-5dc3-b771-19c94bdccc8e', 'Date': 'Sat, 25 Apr 2026 02:57:12 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:57:32,900 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6c6fe9a0-e9f3-563c-b8fa-8bc6c63b59d6', 'Date': 'Sat, 25 Apr 2026 02:57:32 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:57:52,929 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ba146f70-bfbb-5518-b20b-0d16906747b3', 'Date': 'Sat, 25 Apr 2026 02:57:52 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:58:12,960 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f8ac710f-c3d1-51c3-abed-1369ec21abb5', 'Date': 'Sat, 25 Apr 2026 02:58:12 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:58:32,984 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '97899cfd-a5e8-5a50-a126-fe9b95ec28c2', 'Date': 'Sat, 25 Apr 2026 02:58:32 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:58:53,009 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c49294bf-d00a-568b-b4c5-f6d9e013741f', 'Date': 'Sat, 25 Apr 2026 02:58:53 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:59:13,034 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c03a5ba9-cf9d-57c3-a6dd-39cfffb0bebb', 'Date': 'Sat, 25 Apr 2026 02:59:13 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:59:33,065 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f2e12dfb-e387-5ffa-afd5-4f9dd3c6286a', 'Date': 'Sat, 25 Apr 2026 02:59:33 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 02:59:53,094 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd70b0088-c373-5f4c-93b8-62eef326e178', 'Date': 'Sat, 25 Apr 2026 02:59:53 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 03:00:13,120 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6bcf1156-5bfb-5089-a29f-73306b92643c', 'Date': 'Sat, 25 Apr 2026 03:00:13 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 03:00:33,147 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd7928ba4-83de-5391-8788-e9c2b3a3cabb', 'Date': 'Sat, 25 Apr 2026 03:00:33 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 03:00:53,175 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'b717cd18-e858-5165-ae3e-af7ed8c9951c', 'Date': 'Sat, 25 Apr 2026 03:00:53 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-04-25 03:01:13,202 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/d823d649445da8a290d27202e3ca5fe04b4f6bc9c81a9587ccb8a9c338323616/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'dc883d11-098e-5c0e-8e50-5f77392b8183', 'Date': 'Sat, 25 Apr 2026 03:01:13 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
