179.61.245.18 - - [20/Apr/2026:23:16:10 +0000] "GET /.env HTTP/1.1" 500 52 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
179.61.245.18 - - [20/Apr/2026:23:16:11 +0000] "POST / HTTP/1.1" 404 64 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
3.151.241.153 - - [20/Apr/2026:23:30:17 +0000] "GET / HTTP/1.1" 200 3330 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
172.202.75.66 - - [21/Apr/2026:00:13:53 +0000] "GET /wp-content/plugins/hellopress/wp_filemanager.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:53 +0000] "GET /rip HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:53 +0000] "GET /archive.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:54 +0000] "GET /term.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:54 +0000] "GET /0x.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:54 +0000] "GET /3.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:54 +0000] "GET /wp-admin/maint/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:55 +0000] "GET /sql.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:55 +0000] "GET /style.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:56 +0000] "GET /admin.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:56 +0000] "GET /inputs.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:56 +0000] "GET /file.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:56 +0000] "GET /ms-edit.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:57 +0000] "GET /simple.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:57 +0000] "GET /bgymj.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:57 +0000] "GET /wp-content/plugins/twenty/login.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:57 +0000] "GET /404.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:58 +0000] "GET /file3.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:58 +0000] "GET /wp-mail.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:59 +0000] "GET /about.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:59 +0000] "GET /wp.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:59 +0000] "GET /.dj/index.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:13:59 +0000] "GET /adminfuns.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:00 +0000] "GET /php8.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:00 +0000] "GET /classwithtostring.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:00 +0000] "GET /info.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:00 +0000] "GET /ioxi-o.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:01 +0000] "GET /011i.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:01 +0000] "GET /edit.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:01 +0000] "GET /sid3.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:02 +0000] "GET /load.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:02 +0000] "GET /166.php HTTP/1.1" 500 52 "-" "-" "-"
172.202.75.66 - - [21/Apr/2026:00:14:02 +0000] "GET /leaf.php HTTP/1.1" 500 52 "-" "-" "-"
